status,code,url
KEEP,1945,https://app.estateweb.gr/app/property/54506
ORPHAN,4095,https://app.estateweb.gr/app/property/53680
ORPHAN,3973,https://app.estateweb.gr/app/property/53558

KEEP,1959,https://app.estateweb.gr/app/property/54505
ORPHAN,4151,https://app.estateweb.gr/app/property/53736
ORPHAN,4029,https://app.estateweb.gr/app/property/53614

KEEP,1972,https://app.estateweb.gr/app/property/54503
ORPHAN,4094,https://app.estateweb.gr/app/property/53679
ORPHAN,3972,https://app.estateweb.gr/app/property/53557

KEEP,1125,https://app.estateweb.gr/app/property/54501
ORPHAN,4082,https://app.estateweb.gr/app/property/53667
ORPHAN,3960,https://app.estateweb.gr/app/property/53545

KEEP,1349,https://app.estateweb.gr/app/property/54500
ORPHAN,4141,https://app.estateweb.gr/app/property/53726
ORPHAN,4019,https://app.estateweb.gr/app/property/53604

KEEP,1712,https://app.estateweb.gr/app/property/54496
ORPHAN,4124,https://app.estateweb.gr/app/property/53709
ORPHAN,4002,https://app.estateweb.gr/app/property/53587

KEEP,1736,https://app.estateweb.gr/app/property/54495
ORPHAN,4122,https://app.estateweb.gr/app/property/53707
ORPHAN,4000,https://app.estateweb.gr/app/property/53585

KEEP,1796,https://app.estateweb.gr/app/property/54494
ORPHAN,4117,https://app.estateweb.gr/app/property/53702
ORPHAN,3995,https://app.estateweb.gr/app/property/53580

KEEP,1878,https://app.estateweb.gr/app/property/54492
ORPHAN,4106,https://app.estateweb.gr/app/property/53691
ORPHAN,3984,https://app.estateweb.gr/app/property/53569

KEEP,1890,https://app.estateweb.gr/app/property/54491
ORPHAN,4154,https://app.estateweb.gr/app/property/53739
ORPHAN,4032,https://app.estateweb.gr/app/property/53617

KEEP,1981,https://app.estateweb.gr/app/property/54490
ORPHAN,4091,https://app.estateweb.gr/app/property/53676
ORPHAN,3969,https://app.estateweb.gr/app/property/53554

KEEP,2059,https://app.estateweb.gr/app/property/54488
ORPHAN,4060,https://app.estateweb.gr/app/property/53645
ORPHAN,3938,https://app.estateweb.gr/app/property/53523

KEEP,1266,https://app.estateweb.gr/app/property/54487
ORPHAN,4165,https://app.estateweb.gr/app/property/53750
ORPHAN,4043,https://app.estateweb.gr/app/property/53628

KEEP,1644,https://app.estateweb.gr/app/property/54486
ORPHAN,4158,https://app.estateweb.gr/app/property/53743
ORPHAN,4036,https://app.estateweb.gr/app/property/53621

KEEP,1611,https://app.estateweb.gr/app/property/54485
ORPHAN,4075,https://app.estateweb.gr/app/property/53660
ORPHAN,3953,https://app.estateweb.gr/app/property/53538

KEEP,1439,https://app.estateweb.gr/app/property/54484
ORPHAN,4162,https://app.estateweb.gr/app/property/53747
ORPHAN,4040,https://app.estateweb.gr/app/property/53625

KEEP,1986,https://app.estateweb.gr/app/property/54482
ORPHAN,4089,https://app.estateweb.gr/app/property/53674
ORPHAN,3967,https://app.estateweb.gr/app/property/53552

KEEP,2074,https://app.estateweb.gr/app/property/54481
ORPHAN,4046,https://app.estateweb.gr/app/property/53631
ORPHAN,3924,https://app.estateweb.gr/app/property/53509

KEEP,932,https://app.estateweb.gr/app/property/54480
ORPHAN,4166,https://app.estateweb.gr/app/property/53751
ORPHAN,4044,https://app.estateweb.gr/app/property/53629

KEEP,1685,https://app.estateweb.gr/app/property/54479
ORPHAN,4157,https://app.estateweb.gr/app/property/53742
ORPHAN,4035,https://app.estateweb.gr/app/property/53620

KEEP,1656,https://app.estateweb.gr/app/property/54478
ORPHAN,4126,https://app.estateweb.gr/app/property/53711
ORPHAN,4004,https://app.estateweb.gr/app/property/53589

KEEP,1671,https://app.estateweb.gr/app/property/54477
ORPHAN,4147,https://app.estateweb.gr/app/property/53732
ORPHAN,4025,https://app.estateweb.gr/app/property/53610

KEEP,1052,https://app.estateweb.gr/app/property/54476
ORPHAN,4144,https://app.estateweb.gr/app/property/53729
ORPHAN,4022,https://app.estateweb.gr/app/property/53607

KEEP,1306,https://app.estateweb.gr/app/property/54474
ORPHAN,4142,https://app.estateweb.gr/app/property/53727
ORPHAN,4020,https://app.estateweb.gr/app/property/53605

KEEP,1990,https://app.estateweb.gr/app/property/54473
ORPHAN,4088,https://app.estateweb.gr/app/property/53673
ORPHAN,3966,https://app.estateweb.gr/app/property/53551

KEEP,1438,https://app.estateweb.gr/app/property/54472
ORPHAN,4138,https://app.estateweb.gr/app/property/53723
ORPHAN,4016,https://app.estateweb.gr/app/property/53601

KEEP,1583,https://app.estateweb.gr/app/property/54470
ORPHAN,4159,https://app.estateweb.gr/app/property/53744
ORPHAN,4037,https://app.estateweb.gr/app/property/53622

KEEP,2005,https://app.estateweb.gr/app/property/54469
ORPHAN,4086,https://app.estateweb.gr/app/property/53671
ORPHAN,3964,https://app.estateweb.gr/app/property/53549

KEEP,1876,https://app.estateweb.gr/app/property/54468
ORPHAN,4145,https://app.estateweb.gr/app/property/53730
ORPHAN,4023,https://app.estateweb.gr/app/property/53608

KEEP,2001,https://app.estateweb.gr/app/property/54466
ORPHAN,4067,https://app.estateweb.gr/app/property/53652
ORPHAN,3945,https://app.estateweb.gr/app/property/53530

KEEP,2018,https://app.estateweb.gr/app/property/54465
ORPHAN,4149,https://app.estateweb.gr/app/property/53734
ORPHAN,4027,https://app.estateweb.gr/app/property/53612

KEEP,2030,https://app.estateweb.gr/app/property/54464
ORPHAN,4065,https://app.estateweb.gr/app/property/53650
ORPHAN,3943,https://app.estateweb.gr/app/property/53528

KEEP,1856,https://app.estateweb.gr/app/property/54462
ORPHAN,4110,https://app.estateweb.gr/app/property/53695
ORPHAN,3988,https://app.estateweb.gr/app/property/53573

KEEP,1366,https://app.estateweb.gr/app/property/54461
ORPHAN,4140,https://app.estateweb.gr/app/property/53725
ORPHAN,4018,https://app.estateweb.gr/app/property/53603

